province,population,gdp,internet_rate,comment_cnt,comment_density_per10k
北京,21893095,4377,88,2111,0.9642309595788079
天津,13866000,1720,80,1409,1.0161546228184049
河北,74610000,4218,74,1619,0.2169950408792387
山西,34910000,2566,76,1269,0.363506158693784
内蒙古,24040000,2151,78,1203,0.5004159733777038
辽宁,42590000,3045,82,1460,0.34280347499413005
吉林,24073000,1286,79,1263,0.5246541768786607
黑龙江,31850000,1680,76,1188,0.3729984301412873
上海,24870000,4720,88,1717,0.6903900281463611
江苏,84750000,12458,86,2503,0.2953392330383481
浙江,64570000,8403,87,1794,0.2778380052656032
安徽,61030000,4600,78,1424,0.23332787153858758
福建,41540000,5310,83,1527,0.3675974963890226
江西,45190000,3200,79,1420,0.3142288116840009
山东,101620000,9200,81,1933,0.19021846093288722
河南,99370000,6000,77,1811,0.1822481634296065
湖北,57750000,5400,81,1588,0.274978354978355
湖南,66440000,4860,80,1466,0.22065021071643587
广东,126840000,13503,88,3512,0.2768842636392305
广西,50130000,2520,77,1282,0.2557350887692001
海南,10080000,720,82,1184,1.1746031746031746
重庆,32050000,3050,80,1333,0.41591263650546023
四川,83670000,6300,81,1715,0.20497191346958288
贵州,38560000,2020,70,1200,0.3112033195020747
云南,47200000,2900,72,1129,0.23919491525423728
西藏,3640000,213,65,1106,3.0384615384615383
陕西,39510000,3270,78,1385,0.35054416603391547
甘肃,25010000,1120,68,1224,0.4894042383046781
青海,5920000,390,70,1086,1.8344594594594594
宁夏,7200000,550,75,1136,1.5777777777777777
新疆,25850000,1870,74,1224,0.4735009671179884
